region,evi_bin_lo,group,n,mean_lst_c
Beijing,0.0,city,3,26.35
Beijing,0.0,cropland,1,24.35
Beijing,0.02,city,2,25.55
Beijing,0.02,cropland,2,23.75
Beijing,0.04,city,5,25.07
Beijing,0.04,cropland,1,24.95
Beijing,0.06,city,22,25.577
Beijing,0.06,cropland,1,24.35
Beijing,0.08,city,103,25.969
Beijing,0.08,cropland,5,23.99
Beijing,0.1,city,223,25.989
Beijing,0.1,cropland,18,24.05
Beijing,0.12,city,417,26.055
Beijing,0.12,cropland,33,23.986
Beijing,0.12,forest,1,20.15
Beijing,0.14,city,755,26.117
Beijing,0.14,cropland,77,23.992
Beijing,0.14,forest,1,21.35
Beijing,0.16,city,846,25.874
Beijing,0.16,cropland,74,23.831
Beijing,0.18,city,1018,25.703
Beijing,0.18,cropland,155,23.936
Beijing,0.2,city,1226,25.594
Beijing,0.2,cropland,182,23.958
Beijing,0.2,forest,1,20.15
Beijing,0.22,city,816,25.388
Beijing,0.22,cropland,180,23.97
Beijing,0.22,forest,2,20.75
Beijing,0.24,city,1233,25.356
Beijing,0.24,cropland,307,24.004
Beijing,0.24,forest,6,21.25
Beijing,0.26,city,1252,25.192
Beijing,0.26,cropland,366,24.001
Beijing,0.26,forest,11,21.405
Beijing,0.28,city,748,25.139
Beijing,0.28,cropland,275,24.027
Beijing,0.28,forest,18,21.817
Beijing,0.3,city,1058,25.049
Beijing,0.3,cropland,513,24.004
Beijing,0.3,forest,40,21.275
Beijing,0.32,city,1043,24.985
Beijing,0.32,cropland,620,24.009
Beijing,0.32,forest,75,21.334
Beijing,0.34,city,674,24.988
Beijing,0.34,cropland,472,24.07
Beijing,0.34,forest,60,21.25
Beijing,0.36,city,1025,24.901
Beijing,0.36,cropland,826,24.034
Beijing,0.36,forest,114,21.034
Beijing,0.38,city,998,24.815
Beijing,0.38,cropland,923,23.978
Beijing,0.38,forest,156,21.231
Beijing,0.4,city,634,24.76
Beijing,0.4,cropland,677,23.954
Beijing,0.4,forest,114,21.076
Beijing,0.42,city,873,24.745
Beijing,0.42,cropland,1111,23.903
Beijing,0.42,forest,212,21.095
Beijing,0.44,city,851,24.66
Beijing,0.44,cropland,1223,23.843
Beijing,0.44,forest,223,21.156
Beijing,0.46,city,502,24.579
Beijing,0.46,cropland,811,23.78
Beijing,0.46,forest,146,21.202
Beijing,0.48,city,597,24.627
Beijing,0.48,cropland,1229,23.755
Beijing,0.48,forest,194,21.164
Beijing,0.5,city,465,24.604
Beijing,0.5,cropland,1018,23.698
Beijing,0.5,forest,208,21.278
Beijing,0.52,city,297,24.473
Beijing,0.52,cropland,613,23.727
Beijing,0.52,forest,140,21.367
Beijing,0.54,city,342,24.55
Beijing,0.54,cropland,784,23.722
Beijing,0.54,forest,165,21.361
Beijing,0.56,city,232,24.521
Beijing,0.56,cropland,697,23.693
Beijing,0.56,forest,108,21.65
Beijing,0.58,city,178,24.519
Beijing,0.58,cropland,591,23.718
Beijing,0.58,forest,59,21.492
Beijing,0.6,city,80,24.635
Beijing,0.6,cropland,300,23.672
Beijing,0.6,forest,40,21.755
Beijing,0.62,city,62,24.369
Beijing,0.62,cropland,267,23.647
Beijing,0.62,forest,26,21.65
Beijing,0.64,city,91,24.416
Beijing,0.64,cropland,331,23.681
Beijing,0.64,forest,11,21.841
Beijing,0.66,city,13,24.212
Beijing,0.66,cropland,90,23.75
Beijing,0.66,forest,1,21.35
Beijing,0.68,city,8,24.5
Beijing,0.68,cropland,71,23.589
Beijing,0.7,city,21,24.179
Beijing,0.7,cropland,88,23.695
Beijing,0.72,city,4,24.65
Beijing,0.72,cropland,37,23.62
Beijing,0.74,city,5,24.35
Beijing,0.74,cropland,14,23.793
Beijing,0.76,city,5,24.35
Beijing,0.76,cropland,27,23.639
Beijing,0.78,city,1,25.55
Beijing,0.78,cropland,7,23.75
Beijing,0.8,city,2,25.25
Beijing,0.8,cropland,3,23.95
Beijing,0.82,city,1,24.35
Beijing,0.82,cropland,5,23.63
Beijing,0.84,cropland,1,23.15
Beijing,0.86,cropland,2,23.45
