region,date,evi_bin_lo,group,n,mean_lst_c
Beijing,2024-08-12,0.1,city,3,33.55
Beijing,2024-08-12,0.12,city,25,34.118
Beijing,2024-08-12,0.14,city,85,33.696
Beijing,2024-08-12,0.16,city,134,33.672
Beijing,2024-08-12,0.18,city,177,33.538
Beijing,2024-08-12,0.2,city,195,33.121
Beijing,2024-08-12,0.22,city,220,32.764
Beijing,2024-08-12,0.24,city,247,32.426
Beijing,2024-08-12,0.26,city,251,31.985
Beijing,2024-08-12,0.26,cropland,1,30.35
Beijing,2024-08-12,0.28,city,264,31.685
Beijing,2024-08-12,0.28,cropland,6,30.45
Beijing,2024-08-12,0.3,city,256,31.505
Beijing,2024-08-12,0.3,cropland,13,31.065
Beijing,2024-08-12,0.32,city,265,31.235
Beijing,2024-08-12,0.32,cropland,29,30.205
Beijing,2024-08-12,0.34,city,251,31.047
Beijing,2024-08-12,0.34,cropland,37,30.172
Beijing,2024-08-12,0.36,city,258,30.888
Beijing,2024-08-12,0.36,cropland,60,30.045
Beijing,2024-08-12,0.38,city,252,30.692
Beijing,2024-08-12,0.38,cropland,90,30.053
Beijing,2024-08-12,0.4,city,269,30.612
Beijing,2024-08-12,0.4,cropland,124,30.002
Beijing,2024-08-12,0.42,city,211,30.423
Beijing,2024-08-12,0.42,cropland,162,29.9
Beijing,2024-08-12,0.44,city,149,30.324
Beijing,2024-08-12,0.44,cropland,203,29.777
Beijing,2024-08-12,0.46,city,121,30.231
Beijing,2024-08-12,0.46,cropland,214,29.737
Beijing,2024-08-12,0.48,city,84,30.111
Beijing,2024-08-12,0.48,cropland,233,29.653
Beijing,2024-08-12,0.5,city,58,30.102
Beijing,2024-08-12,0.5,cropland,253,29.439
Beijing,2024-08-12,0.52,city,38,30.074
Beijing,2024-08-12,0.52,cropland,229,29.374
Beijing,2024-08-12,0.54,city,15,30.23
Beijing,2024-08-12,0.54,cropland,205,29.372
Beijing,2024-08-12,0.56,city,5,30.23
Beijing,2024-08-12,0.56,cropland,208,29.205
Beijing,2024-08-12,0.58,city,5,29.75
Beijing,2024-08-12,0.58,cropland,154,29.21
Beijing,2024-08-12,0.6,city,5,30.05
Beijing,2024-08-12,0.6,cropland,126,29.195
Beijing,2024-08-12,0.62,cropland,113,29.139
Beijing,2024-08-12,0.64,cropland,75,29.014
Beijing,2024-08-12,0.66,cropland,44,28.843
Beijing,2024-08-12,0.68,cropland,20,28.985
Beijing,2024-08-12,0.7,cropland,10,29.12
Beijing,2024-08-12,0.72,cropland,6,28.65
Beijing,2024-08-12,0.74,cropland,2,28.85
Beijing,2024-08-12,0.8,cropland,1,29.45
Cairo,2024-02-02,0.04,city,101,21.154
Cairo,2024-02-02,0.06,city,258,21.372
Cairo,2024-02-02,0.08,city,177,21.272
Cairo,2024-02-02,0.1,city,87,21.157
Cairo,2024-02-02,0.12,city,86,21.047
Cairo,2024-02-02,0.14,city,51,20.838
Cairo,2024-02-02,0.14,cropland,1,20.75
Cairo,2024-02-02,0.16,city,36,21.117
Cairo,2024-02-02,0.18,city,46,20.704
Cairo,2024-02-02,0.2,city,33,20.586
Cairo,2024-02-02,0.2,cropland,1,22.55
Cairo,2024-02-02,0.22,city,28,20.643
Cairo,2024-02-02,0.22,cropland,1,21.65
Cairo,2024-02-02,0.24,city,35,20.647
Cairo,2024-02-02,0.24,cropland,5,20.21
Cairo,2024-02-02,0.26,city,30,20.44
Cairo,2024-02-02,0.26,cropland,6,20.35
Cairo,2024-02-02,0.28,city,26,20.462
Cairo,2024-02-02,0.28,cropland,9,20.117
Cairo,2024-02-02,0.3,city,16,20.263
Cairo,2024-02-02,0.3,cropland,18,20.433
Cairo,2024-02-02,0.32,city,15,20.47
Cairo,2024-02-02,0.32,cropland,30,20.19
Cairo,2024-02-02,0.34,city,11,20.123
Cairo,2024-02-02,0.34,cropland,53,20.014
Cairo,2024-02-02,0.36,city,8,20.375
Cairo,2024-02-02,0.36,cropland,66,19.927
Cairo,2024-02-02,0.38,city,4,19.775
Cairo,2024-02-02,0.38,cropland,76,19.862
Cairo,2024-02-02,0.4,city,1,19.85
Cairo,2024-02-02,0.4,cropland,92,19.667
Cairo,2024-02-02,0.42,city,2,20.0
Cairo,2024-02-02,0.42,cropland,128,19.538
Cairo,2024-02-02,0.44,city,1,18.95
Cairo,2024-02-02,0.44,cropland,123,19.421
Cairo,2024-02-02,0.46,city,3,19.15
Cairo,2024-02-02,0.46,cropland,129,19.383
Cairo,2024-02-02,0.48,cropland,141,19.239
Cairo,2024-02-02,0.5,cropland,121,19.133
Cairo,2024-02-02,0.52,cropland,131,18.897
Cairo,2024-02-02,0.54,cropland,118,18.797
Cairo,2024-02-02,0.56,cropland,92,18.784
Cairo,2024-02-02,0.58,cropland,87,18.64
Cairo,2024-02-02,0.6,cropland,71,18.646
Cairo,2024-02-02,0.62,cropland,52,18.563
Cairo,2024-02-02,0.64,cropland,19,18.508
Cairo,2024-02-02,0.66,cropland,9,18.45
Cairo,2024-02-02,0.68,cropland,2,18.35
Cairo,2024-02-02,0.7,cropland,1,18.35
Chicago,2024-07-27,0.02,city,1,30.95
Chicago,2024-07-27,0.04,city,4,31.175
Chicago,2024-07-27,0.06,city,12,32.65
Chicago,2024-07-27,0.08,city,7,32.664
Chicago,2024-07-27,0.1,city,12,31.675
Chicago,2024-07-27,0.12,city,31,33.321
Chicago,2024-07-27,0.14,city,40,33.628
Chicago,2024-07-27,0.16,city,90,33.553
Chicago,2024-07-27,0.18,city,128,33.554
Chicago,2024-07-27,0.2,city,157,33.329
Chicago,2024-07-27,0.22,city,193,33.224
Chicago,2024-07-27,0.24,city,242,32.791
Chicago,2024-07-27,0.26,city,223,32.528
Chicago,2024-07-27,0.28,city,250,32.366
Chicago,2024-07-27,0.3,city,309,31.983
Chicago,2024-07-27,0.32,city,353,31.902
Chicago,2024-07-27,0.34,city,367,31.735
Chicago,2024-07-27,0.34,cropland,2,29.9
Chicago,2024-07-27,0.36,city,351,31.463
Chicago,2024-07-27,0.36,cropland,4,30.125
Chicago,2024-07-27,0.38,city,307,31.105
Chicago,2024-07-27,0.38,cropland,3,29.65
Chicago,2024-07-27,0.4,city,304,30.818
Chicago,2024-07-27,0.4,cropland,5,29.03
Chicago,2024-07-27,0.42,city,189,30.61
Chicago,2024-07-27,0.42,cropland,4,29.45
Chicago,2024-07-27,0.44,city,140,30.168
Chicago,2024-07-27,0.44,cropland,8,29.638
Chicago,2024-07-27,0.46,city,100,29.978
Chicago,2024-07-27,0.46,cropland,8,28.738
