region,date,is_peak,is_sep,n_city,n_crop,n_city_matched,n_crop_matched,unmatched_gap,gap,ci_lo,ci_hi,p,testable,crop_median_evi,city_median_evi
Beijing,2024-01-01,False,False,3842,2618,3842,2596,0.7762,0.7764,0.7222,0.8353,0.0,True,0.1084,0.0976
Beijing,2024-01-17,False,False,3843,2618,3567,2576,-0.3543,-0.3617,-0.4541,-0.2756,1.0,True,0.1314,0.1023
Beijing,2024-02-02,False,False,3841,2618,3831,2588,-0.7192,-0.7237,-0.9087,-0.4894,1.0,True,0.1244,0.0969
Beijing,2024-02-18,False,False,3843,2618,3515,2586,-0.5012,-0.7632,-0.9717,-0.5545,1.0,True,0.122,0.0943
Beijing,2024-03-05,False,False,3841,2618,3673,2574,-1.4215,-1.4092,-1.5489,-1.2608,1.0,True,0.1377,0.1037
Beijing,2024-03-21,False,False,3842,2618,3804,2563,-0.9686,-1.7194,-1.9544,-1.4659,1.0,True,0.1526,0.1128
Beijing,2024-04-06,False,False,3843,2618,3803,2554,-0.5078,-1.4355,-1.5664,-1.2693,1.0,True,0.263,0.1795
Beijing,2024-04-22,False,False,3843,2618,3829,2487,0.3557,-0.7206,-0.8156,-0.632,1.0,True,0.352,0.2564
Beijing,2024-05-08,False,False,3843,2618,3747,2503,1.057,-0.0564,-0.1463,0.048,0.974,True,0.381,0.2784
Beijing,2024-05-24,False,False,3842,2618,3815,2586,1.2993,0.5079,0.394,0.6237,0.0,True,0.3628,0.2784
Beijing,2024-06-09,False,False,3843,2618,3701,2617,1.3423,0.7422,0.6452,0.8148,0.0,True,0.3632,0.3014
Beijing,2024-06-25,False,False,3843,2618,3696,2563,0.5195,-0.236,-0.3277,-0.1446,1.0,True,0.4021,0.2902
Beijing,2024-07-11,False,False,3843,2618,3186,2545,2.1049,1.2257,1.0337,1.3746,0.0,True,0.5084,0.3438
Beijing,2024-07-27,False,False,3843,2618,3169,2507,2.4284,1.4294,1.1375,1.5497,0.0,True,0.5057,0.3449
Beijing,2024-08-12,True,False,3843,2618,2757,2347,2.0388,0.8213,0.646,0.9161,0.0,True,0.5115,0.3249
Beijing,2024-08-28,False,False,3843,2618,3232,2582,1.639,0.8403,0.5372,0.9533,0.0,True,0.4696,0.3285
Beijing,2024-09-13,False,True,3843,2618,3142,2575,0.7938,0.3855,0.2616,0.5296,0.0,True,0.3989,0.2809
Beijing,2024-09-29,False,False,3843,2618,3674,2616,0.0175,-0.511,-0.597,-0.4507,1.0,True,0.327,0.2538
Beijing,2024-10-15,False,False,3843,2618,3830,2609,0.012,-0.2449,-0.3082,-0.1723,1.0,True,0.2764,0.2258
Beijing,2024-10-31,False,False,3842,2618,3708,2617,0.2992,0.3746,0.2822,0.4727,0.0,True,0.2119,0.1671
Beijing,2024-11-16,False,False,3842,2618,3567,2539,0.0079,-0.3367,-0.4049,-0.2671,1.0,True,0.1702,0.1243
Beijing,2024-12-02,False,False,3842,2618,3642,2566,-0.1412,-0.246,-0.3373,-0.1067,1.0,True,0.1553,0.1095
Beijing,2024-12-18,False,False,3842,2618,3548,2585,-0.3789,-0.2984,-0.427,-0.1705,1.0,True,0.1385,0.1016
Cairo,2024-01-01,False,False,1055,1582,344,1098,1.3491,0.0932,-0.1824,0.2423,0.0,True,0.4414,0.0962
Cairo,2024-01-17,False,False,1055,1582,337,824,1.1687,-0.2715,-0.5506,-0.0579,1.0,True,0.4603,0.0955
Cairo,2024-02-02,True,False,1055,1582,264,738,1.7861,-0.211,-0.4157,0.2919,1.0,True,0.4872,0.0992
Cairo,2024-02-18,False,False,1055,1582,283,723,2.5905,0.1571,-0.2864,0.6009,0.0,True,0.4765,0.0969
Cairo,2024-03-05,False,False,1055,1582,260,624,4.3286,0.6041,0.2153,1.4384,0.0,True,0.4776,0.1064
Cairo,2024-03-21,False,False,1055,1582,164,682,3.2158,0.5364,0.0077,1.0861,0.0,True,0.4303,0.1079
Cairo,2024-04-06,False,False,1055,1582,206,1246,3.5486,0.709,0.4404,1.2977,0.0,True,0.3698,0.1053
Cairo,2024-04-22,False,False,1055,1582,281,1437,2.5266,-0.1279,-0.3521,0.0828,0.992,True,0.2815,0.1103
Cairo,2024-05-08,False,False,1055,1582,587,1561,2.0759,0.8824,0.7473,1.02,0.0,True,0.2072,0.106
Cairo,2024-05-24,False,False,1055,1582,477,1562,1.9835,0.5145,0.351,0.6893,0.0,True,0.2134,0.1135
Cairo,2024-06-09,False,False,1055,1582,396,1490,4.0152,1.809,1.5895,1.9937,0.0,True,0.2686,0.1168
Cairo,2024-06-25,False,False,1055,1582,218,1139,5.5623,1.7853,1.2305,2.1851,0.0,True,0.3618,0.1173
Cairo,2024-07-11,False,False,1055,1582,242,1077,6.7907,-0.0419,-0.7201,0.8881,0.756,True,0.4143,0.1192
Cairo,2024-07-27,False,False,1055,1582,340,1353,6.1287,0.8266,0.1694,1.2785,0.0,True,0.3904,0.1203
Cairo,2024-08-12,False,False,1055,1582,498,1162,4.6103,0.1302,-0.1237,0.3572,0.003,True,0.3524,0.1145
Cairo,2024-08-28,False,False,1055,1582,833,1240,2.8169,1.1139,0.7403,1.2389,0.0,True,0.2944,0.1128
Cairo,2024-09-13,False,True,1055,1582,825,1464,1.37,0.3931,-0.0492,0.4934,0.0,True,0.2475,0.1126
Cairo,2024-09-29,False,False,1055,1582,619,1465,1.4025,0.3969,0.2726,0.5191,0.0,True,0.244,0.1112
Cairo,2024-10-15,False,False,1055,1582,547,1148,1.0328,-0.6604,-0.7811,-0.4294,1.0,True,0.2641,0.1032
Cairo,2024-10-31,False,False,1055,1582,388,1162,1.2558,0.1806,-0.0273,0.4123,0.0,True,0.3018,0.1002
Cairo,2024-11-16,False,False,1055,1582,381,1095,1.1956,-1.0975,-1.3779,-0.3759,1.0,True,0.3295,0.0962
Cairo,2024-12-02,False,False,1055,1582,290,1203,0.4474,-0.8261,-1.0853,-0.2997,1.0,True,0.3533,0.0922
Cairo,2024-12-18,False,False,1055,1582,308,1093,0.5938,-0.7312,-0.8707,-0.4908,1.0,True,0.3895,0.0917
Chicago,2024-01-01,False,False,2804,489,2705,489,6.121,6.1135,5.6958,6.4262,0.0,True,0.1803,0.1018
Chicago,2024-01-17,False,False,3949,431,3704,431,4.6212,0.1741,-0.3279,1.3222,0.16,True,0.0749,0.1325
Chicago,2024-02-02,False,False,3972,687,3872,687,0.2931,0.28,0.2286,0.3437,0.0,True,0.1522,0.162
Chicago,2024-02-18,False,False,3970,687,3342,687,0.9093,0.8986,0.7436,1.0589,0.0,True,0.1648,0.1619
Chicago,2024-03-05,False,False,3971,687,3615,687,0.3666,0.4176,0.3313,0.5117,0.0,True,0.1936,0.186
Chicago,2024-03-21,False,False,3946,685,3724,684,0.4825,1.1463,0.5915,1.3102,0.0,True,0.1971,0.1885
Chicago,2024-04-06,False,False,3973,687,3713,687,0.5508,0.5624,0.5046,0.6438,0.0,True,0.2606,0.2462
Chicago,2024-04-22,False,False,3966,687,3876,686,1.3704,1.3544,1.2704,1.4362,0.0,True,0.304,0.3074
Chicago,2024-05-08,False,False,3973,687,3886,687,1.6088,1.6523,1.5362,1.769,0.0,True,0.3237,0.3451
Chicago,2024-05-24,False,False,3974,687,3900,687,2.1002,2.1524,2.0479,2.2476,0.0,True,0.3207,0.3412
Chicago,2024-06-09,False,False,3974,687,3770,686,0.4159,0.2606,0.1454,0.3759,0.0,True,0.3785,0.352
Chicago,2024-06-25,False,False,3974,687,2959,675,2.5621,1.6773,1.4748,1.8294,0.0,True,0.5008,0.3562
Chicago,2024-07-11,False,False,3974,687,2730,597,4.3734,2.8234,2.4833,3.0587,0.0,True,0.5503,0.3529
Chicago,2024-07-27,True,False,3974,687,1922,212,4.4262,1.4474,0.827,1.9458,0.0,True,0.6454,0.3361
Chicago,2024-08-12,False,False,3974,687,1528,126,4.0127,1.07,0.6028,1.6009,0.0,True,0.625,0.3166
Chicago,2024-08-28,False,False,3974,687,2442,380,3.0202,1.1154,0.4192,1.6272,0.0,True,0.5667,0.3064
Chicago,2024-09-13,False,True,3974,687,2596,588,1.4699,0.8666,0.6605,1.0761,0.0,True,0.4326,0.2762
Chicago,2024-09-29,False,False,3973,687,3827,687,0.5836,0.5267,0.4533,0.6011,0.0,True,0.2906,0.2848
Chicago,2024-10-15,False,False,3974,687,3862,687,0.2748,0.2621,0.1999,0.3686,0.0,True,0.2517,0.2644
Chicago,2024-10-31,False,False,3971,687,3855,684,-0.089,-0.053,-0.129,0.0208,0.908,True,0.2167,0.2365
Chicago,2024-11-16,False,False,3974,687,3812,687,0.2639,0.1878,-0.0179,0.3894,0.006,True,0.1881,0.1808
Chicago,2024-12-02,False,False,3972,687,3712,686,0.2412,0.1978,0.0564,0.3282,0.0,True,0.1671,0.166
Chicago,2024-12-18,False,False,3736,630,3553,629,0.5269,0.8653,0.5455,1.1123,0.0,True,0.153,0.1392
Córdoba,2024-01-01,False,False,335,5498,334,4788,-1.6766,-2.0494,-2.1915,-1.9108,1.0,True,0.3241,0.2968
Córdoba,2024-01-17,False,False,335,5513,303,2604,0.0923,-2.3094,-2.5182,-2.096,1.0,True,0.5078,0.2815
Córdoba,2024-02-02,False,False,335,5513,259,910,2.5025,0.6973,0.1598,0.9119,0.0,True,0.5967,0.2519
Córdoba,2024-02-18,False,False,335,5513,217,1194,2.156,-0.3461,-1.0654,0.1346,1.0,True,0.6365,0.255
Córdoba,2024-03-05,True,False,335,5513,240,1062,2.6804,0.9766,0.5378,1.265,0.0,True,0.6785,0.291
Córdoba,2024-03-21,False,False,335,5513,302,3180,0.6149,-0.0644,-0.5194,0.1876,0.861,True,0.4671,0.251
Córdoba,2024-04-06,False,False,335,5513,334,5389,-0.8187,-0.8564,-0.9587,-0.7522,1.0,True,0.257,0.2438
Córdoba,2024-04-22,False,False,335,5513,332,5410,-1.1533,-1.1099,-1.2278,-0.9756,1.0,True,0.2031,0.2219
Córdoba,2024-05-08,False,False,335,5513,330,5461,-1.2661,-1.2172,-1.3455,-1.086,1.0,True,0.1881,0.2315
Córdoba,2024-05-24,False,False,335,5513,334,5466,-0.5499,-0.6684,-0.7923,-0.5464,1.0,True,0.1696,0.188
Córdoba,2024-06-09,False,False,335,5513,335,5490,-1.9623,-1.9303,-2.0313,-1.8218,1.0,True,0.1585,0.1595
Córdoba,2024-06-25,False,False,335,5513,335,5370,-1.7879,-1.8109,-1.9526,-1.6814,1.0,True,0.1671,0.1481
Córdoba,2024-07-11,False,False,335,5513,319,5390,-3.5903,-3.4252,-3.575,-3.2628,1.0,True,0.1756,0.144
Córdoba,2024-07-27,False,False,335,5513,334,5241,-1.9205,-0.9982,-1.289,-0.7217,1.0,True,0.1762,0.1398
Córdoba,2024-08-12,False,False,335,5513,332,5165,-2.8103,-3.1795,-3.3207,-2.9848,1.0,True,0.1632,0.1328
Córdoba,2024-08-28,False,False,335,5513,310,5011,-3.1907,-3.5769,-3.7832,-3.362,1.0,True,0.1677,0.1379
Córdoba,2024-09-13,False,True,335,5513,309,5006,-2.1981,-2.3771,-2.5181,-2.2248,1.0,True,0.1829,0.1666
Córdoba,2024-09-29,False,False,335,5513,331,5234,-2.4027,-2.2271,-2.411,-2.0553,1.0,True,0.1758,0.1938
